Siparis_ID,Tarih,Musteri_ID,Kategori,Urun,Satis_Kanali,Odeme_Yontemi,Liste_Fiyati,Satis_Adedi,Indirim_Orani,Kargo_Ucreti,Teslimat_Suresi,Memnuniyet_Puani
ORD-879737,2023-02-13,CUST-1107,Ev Elektroniği,Kahve Makinesi,Mobil Uygulama,Kapıda Ödeme,5741.81,3,0.0,49.9,4,5
ORD-804667,2023-11-19,CUST-1794,Bilgisayar,Tablet,Online,Havale/EFT,10237.8,1,0.05,49.9,4,5
ORD-155534,2023-11-23,CUST-1792,Aksesuar,Kulaklık,Mağaza,Havale/EFT,2588.3,1,0.15,0.0,0,5
ORD-400956,2023-07-19,CUST-1553,Ev Elektroniği,Robot Süpürge,Online,Kapıda Ödeme,14756.38,1,0.0,29.9,3,4
ORD-745689,2023-05-19,CUST-1335,Telefon,Akıllı Saat,Online,Havale/EFT,5567.49,1,0.15,49.9,1,5
ORD-274428,2023-08-14,CUST-1504,Telefon,Akıllı Saat,Online,Havale/EFT,1736.74,1,0.05,29.9,3,5
ORD-203604,2023-04-03,CUST-1568,Telefon,Akıllı Saat,Mağaza,Kapıda Ödeme,1928.54,1,0.15,0.0,0,5
ORD-794332,2023-04-01,CUST-1279,Bilgisayar,Tablet,Online,Havale/EFT,9560.36,1,0.1,49.9,2,5
ORD-256510,2023-05-29,CUST-1453,Aksesuar,Kulaklık,Mağaza,Kredi Kartı,1820.09,1,0.05,0.0,0,5
ORD-307408,2023-09-12,CUST-1940,Aksesuar,Mouse/Klavye,Mobil Uygulama,Kredi Kartı,1869.23,1,0.0,49.9,5,2
ORD-591901,2023-06-29,CUST-1754,Telefon,Akıllı Telefon,Mağaza,Kapıda Ödeme,7860.9,1,0.1,0.0,0,5
ORD-931830,2023-10-13,CUST-1141,Bilgisayar,Monitör,Online,Havale/EFT,2757.63,2,0.1,29.9,4,5
ORD-439828,2023-04-02,CUST-1108,Ev Elektroniği,Televizyon,Mağaza,Kredi Kartı,38615.45,1,0.1,0.0,0,5
ORD-495844,2023-01-28,CUST-1286,Ev Elektroniği,Robot Süpürge,Mağaza,Kapıda Ödeme,13315.35,1,0.0,0.0,0,5
ORD-248776,2023-11-25,CUST-1723,Ev Elektroniği,Robot Süpürge,Online,Kredi Kartı,12716.92,1,0.0,29.9,2,3
ORD-755975,2023-01-23,CUST-1507,Ev Elektroniği,Robot Süpürge,Mobil Uygulama,Kredi Kartı,10848.5,1,0.0,49.9,3,3
ORD-358724,2023-09-24,CUST-1729,Aksesuar,Powerbank,Mağaza,Kapıda Ödeme,1358.71,1,0.0,0.0,0,4
ORD-566125,2023-10-09,CUST-1128,Bilgisayar,Tablet,Mobil Uygulama,Kapıda Ödeme,11070.09,1,0.05,49.9,1,5
ORD-794431,2023-04-22,CUST-1674,Bilgisayar,Monitör,Mobil Uygulama,Kapıda Ödeme,2717.37,1,0.05,49.9,4,5
ORD-143722,2023-02-27,CUST-1786,Telefon,Akıllı Telefon,Online,Kapıda Ödeme,39816.15,1,0.0,29.9,4,3
ORD-385198,2023-10-21,CUST-1876,Telefon,Akıllı Telefon,Mobil Uygulama,Kapıda Ödeme,17401.02,3,0.0,29.9,2,5
ORD-361013,2023-05-20,CUST-1076,Aksesuar,Kulaklık,Mobil Uygulama,Havale/EFT,887.14,1,0.0,49.9,3,5
ORD-876499,2023-06-23,CUST-1410,Ev Elektroniği,Kahve Makinesi,Online,Havale/EFT,8801.77,1,0.0,49.9,1,5
ORD-136798,2023-04-18,CUST-1576,Ev Elektroniği,Televizyon,Mobil Uygulama,Kredi Kartı,13698.91,1,0.15,49.9,5,3
ORD-247705,2023-07-24,CUST-1665,Telefon,Akıllı Saat,Mağaza,Kredi Kartı,4367.07,1,0.15,0.0,0,5
ORD-466748,2023-07-27,CUST-1268,Bilgisayar,Laptop,Mobil Uygulama,Kapıda Ödeme,36063.22,1,0.0,49.9,1,3
ORD-304130,2023-01-14,CUST-1633,Ev Elektroniği,Kahve Makinesi,Mobil Uygulama,Havale/EFT,9156.13,1,0.1,29.9,1,5
ORD-136058,2023-05-28,CUST-1053,Bilgisayar,Monitör,Mağaza,Kapıda Ödeme,2460.34,1,0.0,0.0,0,4
